2026-08-05 00:26:46,593 | INFO     | audio_analyzer               | [LIBROSA] Loading audio file...
2026-08-05 00:26:53,309 | INFO     | audio_analyzer               | [LIBROSA] Audio loaded: 30.0 seconds, 22050 Hz sample rate
2026-08-05 00:26:53,310 | INFO     | audio_analyzer               | [LIBROSA] Extracting BPM...
2026-08-05 00:26:56,957 | INFO     | audio_analyzer               | [LIBROSA] BPM: 92.3
2026-08-05 00:26:56,957 | INFO     | audio_analyzer               | [LIBROSA] Extracting MFCCs (timbre)...
2026-08-05 00:26:57,025 | INFO     | audio_analyzer               | [LIBROSA] MFCCs extracted: 13 coefficients
2026-08-05 00:26:57,026 | INFO     | audio_analyzer               | [LIBROSA] Extracting chroma (harmonics)...
2026-08-05 00:26:57,189 | INFO     | audio_analyzer               | [LIBROSA] Chroma extracted: 12 pitch classes
2026-08-05 00:26:57,190 | INFO     | audio_analyzer               | [LIBROSA] Extracting spectral features...
2026-08-05 00:26:57,585 | INFO     | audio_analyzer               | [LIBROSA] Spectral: centroid=2745.7, rolloff=6013.6, bandwidth=2801.6
2026-08-05 00:26:57,586 | INFO     | audio_analyzer               | [LIBROSA] Extracting energy (RMS)...
2026-08-05 00:26:57,596 | INFO     | audio_analyzer               | [LIBROSA] Energy: mean=0.2001, var=0.0103
2026-08-05 00:26:57,596 | INFO     | audio_analyzer               | [LIBROSA] Extracting onset rate...
2026-08-05 00:26:57,661 | INFO     | audio_analyzer               | [LIBROSA] Onset rate: 2.1650
2026-08-05 00:26:57,698 | INFO     | audio_analyzer               | [LIBROSA] Inferring musical key...
2026-08-05 00:26:57,698 | INFO     | audio_analyzer               | [LIBROSA] Key: A
2026-08-05 00:26:57,699 | INFO     | audio_analyzer               | [LIBROSA] Inferring scale (major/minor)...
2026-08-05 00:26:57,701 | INFO     | audio_analyzer               | [LIBROSA] Scale: minor (major=-0.07, minor=-0.01)
2026-08-05 00:26:57,703 | INFO     | audio_analyzer               | Analyzed audio: BPM=92.3, RMS=0.200
2026-08-05 00:26:57,703 | INFO     | __main__                     | Analysis results for The Heavy - What Makes A Good Man?:
2026-08-05 00:26:57,703 | INFO     | __main__                     |   Audio features: OK
2026-08-05 00:26:57,703 | INFO     | __main__                     |   MusicBrainz: OK
2026-08-05 00:26:57,704 | INFO     | __main__                     |   AcousticBrainz: NOT FOUND
2026-08-05 00:26:57,704 | INFO     | __main__                     |   Last.fm tags: 0
2026-08-05 00:26:57,704 | INFO     | feature_cache                | [CACHE] Saving features for: The Heavy - What Makes A Good Man? (ID: 18435591)
2026-08-05 00:26:57,704 | INFO     | feature_cache                | [CACHE] Audio features: BPM=92.3, Energy=0.2001, MFCCs=13 coefficients
2026-08-05 00:26:57,704 | INFO     | feature_cache                | [CACHE] AcousticBrainz: NONE
2026-08-05 00:26:57,704 | INFO     | feature_cache                | [CACHE] MusicBrainz ID: e614f23f-2086-4c58-af33-b4d4c1e45413
2026-08-05 00:26:57,705 | INFO     | feature_cache                | [CACHE] Last.fm tags: NONE
2026-08-05 00:26:57,713 | INFO     | feature_cache                | [CACHE] ✓ Saved successfully for: The Heavy - What Makes A Good Man?
2026-08-05 00:26:57,726 | INFO     | feature_cache                | Exported 86 tracks to cached_songs.json
2026-08-05 00:26:57,726 | INFO     | __main__                     | [STEP 6] User 240082844: Features OK: BPM=92.28515625
2026-08-05 00:26:57,727 | INFO     | deezer_helper                | [DEEZER] get_similar id=18435591 limit=5
2026-08-05 00:26:57,974 | INFO     | deezer_helper                | [DEEZER] get_similar id=18435591 -> 0 results
2026-08-05 00:26:57,974 | INFO     | user_prefs                   | [PLAYLIST_DB] add_to_user_playlist user=240082844 track=18435591 (What Makes A Good Man? - The Heavy) bpm=92.28515625 energy=0.20011219382286072 valence=0 genre='' persian=False similar=0
2026-08-05 00:26:57,986 | INFO     | user_prefs                   | [PLAYLIST_DB] added OK user=240082844 track=18435591
2026-08-05 00:26:57,988 | INFO     | __main__                     | [STEP 7] User 240082844: Added: What Makes A Good Man? - The Heavy (genre: )
2026-08-05 00:26:57,989 | INFO     | __main__                     | [STEP 6] User 240082844: Processing 2/5: 'The Who   The Seeker' -> 'The Who The Seeker'
2026-08-05 00:26:58,673 | INFO     | __main__                     | [STEP 6] User 240082844: Searching Deezer for: The Who The Seeker
2026-08-05 00:26:58,674 | INFO     | deezer_helper                | [DEEZER] search query='The Who The Seeker' limit=3
2026-08-05 00:26:58,951 | INFO     | deezer_helper                | [DEEZER] search query='The Who The Seeker' -> 3 results
2026-08-05 00:26:58,952 | INFO     | __main__                     | [STEP 6] User 240082844: Found: The Seeker (Edit) - The Who
2026-08-05 00:26:58,952 | INFO     | __main__                     | [STEP 6] User 240082844: Is Persian: False
2026-08-05 00:26:58,952 | INFO     | __main__                     | [STEP 6] User 240082844: Analyzing features (librosa)...
2026-08-05 00:26:58,952 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 65414413
2026-08-05 00:26:58,954 | INFO     | feature_cache                | [CACHE] Cache MISS for track ID: 65414413
2026-08-05 00:26:58,956 | INFO     | __main__                     | Analyzing track: The Who - The Seeker (Edit) (fast=False)
2026-08-05 00:26:58,956 | INFO     | audio_analyzer               | Downloading preview: https://cdnt-preview.dzcdn.net/api/1/1/d/4/2/0/d42b0a77d8d39833c8c10d5afed8cc5c.mp3?hdnea=exp=1785877920~acl=/api/1/1/d/4/2/0/d42b0a77d8d39833c8c10d5afed8cc5c.mp3*~data=user_id=0,application_id=42~hmac=f41c5f119f8d0319e3a9ea7171ce6cbd7f091ecd1aefae1201681f2605187825
2026-08-05 00:26:59,527 | INFO     | musicbrainz_client           | No MusicBrainz recording found for The Who - The Seeker (Edit)
2026-08-05 00:27:00,496 | INFO     | audio_analyzer               | Downloaded 479827 bytes
2026-08-05 00:27:00,497 | INFO     | audio_analyzer               | Running librosa analysis...
2026-08-05 00:27:00,498 | INFO     | audio_analyzer               | [LIBROSA] Starting feature extraction...
2026-08-05 00:27:00,499 | INFO     | audio_analyzer               | [LIBROSA] Temp file created: C:\Users\Saeid\AppData\Local\Temp\tmp3jibckxj.mp3 (479827 bytes)
2026-08-05 00:27:00,499 | INFO     | audio_analyzer               | [LIBROSA] Loading audio file...
2026-08-05 00:27:00,606 | INFO     | audio_analyzer               | [LIBROSA] Audio loaded: 30.0 seconds, 22050 Hz sample rate
2026-08-05 00:27:00,609 | INFO     | audio_analyzer               | [LIBROSA] Extracting BPM...
2026-08-05 00:27:00,730 | INFO     | audio_analyzer               | [LIBROSA] BPM: 89.1
2026-08-05 00:27:00,731 | INFO     | audio_analyzer               | [LIBROSA] Extracting MFCCs (timbre)...
2026-08-05 00:27:00,793 | INFO     | audio_analyzer               | [LIBROSA] MFCCs extracted: 13 coefficients
2026-08-05 00:27:00,793 | INFO     | audio_analyzer               | [LIBROSA] Extracting chroma (harmonics)...
2026-08-05 00:27:00,928 | INFO     | audio_analyzer               | [LIBROSA] Chroma extracted: 12 pitch classes
2026-08-05 00:27:00,928 | INFO     | audio_analyzer               | [LIBROSA] Extracting spectral features...
2026-08-05 00:27:01,310 | INFO     | audio_analyzer               | [LIBROSA] Spectral: centroid=2335.8, rolloff=4739.7, bandwidth=2302.0
2026-08-05 00:27:01,311 | INFO     | audio_analyzer               | [LIBROSA] Extracting energy (RMS)...
2026-08-05 00:27:01,322 | INFO     | audio_analyzer               | [LIBROSA] Energy: mean=0.1082, var=0.0007
2026-08-05 00:27:01,323 | INFO     | audio_analyzer               | [LIBROSA] Extracting onset rate...
2026-08-05 00:27:01,385 | INFO     | audio_analyzer               | [LIBROSA] Onset rate: 1.4206
2026-08-05 00:27:01,424 | INFO     | audio_analyzer               | [LIBROSA] Inferring musical key...
2026-08-05 00:27:01,424 | INFO     | audio_analyzer               | [LIBROSA] Key: A
2026-08-05 00:27:01,424 | INFO     | audio_analyzer               | [LIBROSA] Inferring scale (major/minor)...
2026-08-05 00:27:01,425 | INFO     | audio_analyzer               | [LIBROSA] Scale: major (major=0.38, minor=-0.28)
2026-08-05 00:27:01,426 | INFO     | audio_analyzer               | Analyzed audio: BPM=89.1, RMS=0.108
2026-08-05 00:27:01,426 | INFO     | __main__                     | Analysis results for The Who - The Seeker (Edit):
2026-08-05 00:27:01,427 | INFO     | __main__                     |   Audio features: OK
2026-08-05 00:27:01,427 | INFO     | __main__                     |   MusicBrainz: NOT FOUND
2026-08-05 00:27:01,427 | INFO     | __main__                     |   AcousticBrainz: NOT FOUND
2026-08-05 00:27:01,427 | INFO     | __main__                     |   Last.fm tags: 0
2026-08-05 00:27:01,428 | INFO     | feature_cache                | [CACHE] Saving features for: The Who - The Seeker (Edit) (ID: 65414413)
2026-08-05 00:27:01,428 | INFO     | feature_cache                | [CACHE] Audio features: BPM=89.1, Energy=0.1082, MFCCs=13 coefficients
2026-08-05 00:27:01,428 | INFO     | feature_cache                | [CACHE] AcousticBrainz: NONE
2026-08-05 00:27:01,429 | INFO     | feature_cache                | [CACHE] MusicBrainz ID: NONE
2026-08-05 00:27:01,429 | INFO     | feature_cache                | [CACHE] Last.fm tags: NONE
2026-08-05 00:27:01,438 | INFO     | feature_cache                | [CACHE] ✓ Saved successfully for: The Who - The Seeker (Edit)
2026-08-05 00:27:01,451 | INFO     | feature_cache                | Exported 87 tracks to cached_songs.json
2026-08-05 00:27:01,452 | INFO     | __main__                     | [STEP 6] User 240082844: Features OK: BPM=89.10290948275862
2026-08-05 00:27:01,452 | INFO     | deezer_helper                | [DEEZER] get_similar id=65414413 limit=5
2026-08-05 00:27:01,875 | INFO     | deezer_helper                | [DEEZER] get_similar id=65414413 -> 0 results
2026-08-05 00:27:01,876 | INFO     | user_prefs                   | [PLAYLIST_DB] add_to_user_playlist user=240082844 track=65414413 (The Seeker (Edit) - The Who) bpm=89.10290948275862 energy=0.10818611085414886 valence=0 genre='' persian=False similar=0
2026-08-05 00:27:01,887 | INFO     | user_prefs                   | [PLAYLIST_DB] added OK user=240082844 track=65414413
2026-08-05 00:27:01,888 | INFO     | __main__                     | [STEP 7] User 240082844: Added: The Seeker (Edit) - The Who (genre: )
2026-08-05 00:27:01,888 | INFO     | __main__                     | [STEP 6] User 240082844: Processing 3/5: 'Fairuz   Wa Habibi' -> 'Fairuz Wa Habibi'
2026-08-05 00:27:02,187 | INFO     | __main__                     | [STEP 6] User 240082844: Searching Deezer for: Fairuz Wa Habibi
2026-08-05 00:27:02,187 | INFO     | deezer_helper                | [DEEZER] search query='Fairuz Wa Habibi' limit=3
2026-08-05 00:27:02,489 | INFO     | deezer_helper                | [DEEZER] search query='Fairuz Wa Habibi' -> 3 results
2026-08-05 00:27:02,489 | INFO     | __main__                     | [STEP 6] User 240082844: Found: Wa Habibi - Fairuz
2026-08-05 00:27:02,490 | INFO     | __main__                     | [STEP 6] User 240082844: Is Persian: False
2026-08-05 00:27:02,490 | INFO     | __main__                     | [STEP 6] User 240082844: Analyzing features (librosa)...
2026-08-05 00:27:02,490 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 78569736
2026-08-05 00:27:02,493 | INFO     | feature_cache                | [CACHE] Cache MISS for track ID: 78569736
2026-08-05 00:27:02,494 | INFO     | __main__                     | Analyzing track: Fairuz - Wa Habibi (fast=False)
2026-08-05 00:27:02,494 | INFO     | audio_analyzer               | Downloading preview: https://cdnt-preview.dzcdn.net/api/1/1/d/8/7/0/d878654b541ac86ddaaf99e472fcfced.mp3?hdnea=exp=1785877924~acl=/api/1/1/d/8/7/0/d878654b541ac86ddaaf99e472fcfced.mp3*~data=user_id=0,application_id=42~hmac=6c470cc2e062838cd8c16f076dcfe367afb171386acebd1ff5a3500acd1f59cc
2026-08-05 00:27:05,440 | INFO     | audio_analyzer               | Downloaded 479827 bytes
2026-08-05 00:27:05,441 | INFO     | audio_analyzer               | Running librosa analysis...
2026-08-05 00:27:05,441 | INFO     | audio_analyzer               | [LIBROSA] Starting feature extraction...
2026-08-05 00:27:05,442 | INFO     | audio_analyzer               | [LIBROSA] Temp file created: C:\Users\Saeid\AppData\Local\Temp\tmpvvxzsmwn.mp3 (479827 bytes)
2026-08-05 00:27:05,443 | INFO     | audio_analyzer               | [LIBROSA] Loading audio file...
2026-08-05 00:27:05,538 | INFO     | audio_analyzer               | [LIBROSA] Audio loaded: 30.0 seconds, 22050 Hz sample rate
2026-08-05 00:27:05,538 | INFO     | audio_analyzer               | [LIBROSA] Extracting BPM...
